demand_id,demand,demand_name,demand_lat,demand_lng,supply_id,supply_lat,supply_lng,supply,supply_name,duration_min,distance_crowflies_km,distance_route_km
0,100,demand0,52.8485936498154,-0.871298493696523,0,51.5011093,-1.242375,400,supply0,152.020138950569,152.020138950569,152.020138950569
0,100,demand0,52.8485936498154,-0.871298493696523,1,52.8491734862925,-1.242375,0,supply1,24.9919918822451,24.9919918822451,24.9919918822451
0,100,demand0,52.8485936498154,-0.871298493696523,2,51.5011093,-1.242375,400,supply2,152.020138950569,152.020138950569,152.020138950569
1,100,demand1,52.8485936498154,-1.61345150630348,0,51.5011093,-1.242375,400,supply0,152.015330515084,152.015330515084,152.015330515084
1,100,demand1,52.8485936498154,-1.61345150630348,1,52.8491734862925,-1.242375,0,supply1,24.9912094987533,24.9912094987533,24.9912094987533
1,100,demand1,52.8485936498154,-1.61345150630348,2,51.5011093,-1.242375,400,supply2,152.015330515084,152.015330515084,152.015330515084
2,100,demand2,52.8468541952845,-0.50024176231681,0,51.5011093,-1.242375,400,supply0,158.065664415239,158.065664415239,158.065664415239
2,100,demand2,52.8468541952845,-0.50024176231681,1,52.8491734862925,-1.242375,0,supply1,49.9851495018545,49.9851495018545,49.9851495018545
2,100,demand2,52.8468541952845,-0.50024176231681,2,51.5011093,-1.242375,400,supply2,158.065664415239,158.065664415239,158.065664415239
3,100,demand3,52.8468541952845,-1.98450823768319,0,51.5011093,-1.242375,400,supply0,158.055665143236,158.055665143236,158.055665143236
3,100,demand3,52.8468541952845,-1.98450823768319,1,52.8491734862925,-1.242375,0,supply1,49.9820199083849,49.9820199083849,49.9820199083849
3,100,demand3,52.8468541952845,-1.98450823768319,2,51.5011093,-1.242375,400,supply2,158.055665143236,158.055665143236,158.055665143236
4,100,demand4,52.8439552873756,-0.129224573249739,0,51.5011093,-1.242375,400,supply0,167.657206349059,167.657206349059,167.657206349059
4,100,demand4,52.8439552873756,-0.129224573249739,1,52.8491734862925,-1.242375,0,supply1,74.9798563016655,74.9798563016655,74.9798563016655
4,100,demand4,52.8439552873756,-0.129224573249739,2,51.5011093,-1.242375,400,supply2,167.657206349059,167.657206349059,167.657206349059
5,100,demand5,52.8439552873756,-2.35552542675026,0,51.5011093,-1.242375,400,supply0,167.641297241082,167.641297241082,167.641297241082
5,100,demand5,52.8439552873756,-2.35552542675026,1,52.8491734862925,-1.242375,0,supply1,74.972814493217,74.972814493217,74.972814493217
5,100,demand5,52.8439552873756,-2.35552542675026,2,51.5011093,-1.242375,400,supply2,167.641297241082,167.641297241082,167.641297241082
6,100,demand6,52.8398972004631,0.24173332117852,0,51.5011093,-1.242375,400,supply0,180.230371026228,180.230371026228,180.230371026228
6,100,demand6,52.8398972004631,0.24173332117852,1,52.8491734862925,-1.242375,0,supply1,99.9764958429598,99.9764958429598,99.9764958429598
6,100,demand6,52.8398972004631,0.24173332117852,2,51.5011093,-1.242375,400,supply2,180.230371026228,180.230371026228,180.230371026228
7,100,demand7,52.8398972004631,-2.72648332117852,0,51.5011093,-1.242375,400,supply0,180.207567861979,180.207567861979,180.207567861979
7,100,demand7,52.8398972004631,-2.72648332117852,1,52.8491734862925,-1.242375,0,supply1,99.9639765169682,99.9639765169682,99.9639765169682
7,100,demand7,52.8398972004631,-2.72648332117852,2,51.5011093,-1.242375,400,supply2,180.207567861979,180.207567861979,180.207567861979
