demand_id,demand,demand_name,demand_lat,demand_lng,supply_id,supply_lat,supply_lng,supply,supply_name,duration_min,distance_crowflies_km,distance_route_km
0,100,demand0,51.9504984783702,-1.242375,0,51.5011093,-1.242375,800,supply0,49.9831500082633,49.9831500082633,49.9831500082633
0,100,demand0,51.9504984783702,-1.242375,1,52.8491734862925,-1.242375,800,supply1,99.9662096683998,99.9662096683998,99.9662096683998
0,100,demand0,51.9504984783702,-1.242375,2,54.1969298768179,-1.242375,800,supply2,249.915294401319,249.915294401319,249.915294401319
1,100,demand1,51.817764670787,-0.729654236177684,0,51.5011093,-1.242375,800,supply0,49.9845449409583,49.9845449409583,49.9845449409583
1,100,demand1,51.817764670787,-0.729654236177684,1,52.8491734862925,-1.242375,800,supply1,119.934312611634,119.934312611634,119.934312611634
1,100,demand1,51.817764670787,-0.729654236177684,2,54.1969298768179,-1.242375,800,supply2,266.911015524232,266.911015524232,266.911015524232
2,100,demand2,51.4988992977493,-0.522340010588876,0,51.5011093,-1.242375,800,supply0,49.9852885698551,49.9852885698551,49.9852885698551
2,100,demand2,51.4988992977493,-0.522340010588876,1,52.8491734862925,-1.242375,800,supply1,158.065715613623,158.065715613623,158.065715613623
2,100,demand2,51.4988992977493,-0.522340010588876,2,54.1969298768179,-1.242375,800,supply2,304.044870193469,304.044870193469,304.044870193469
3,100,demand3,51.1822264284098,-0.736736434144399,0,51.5011093,-1.242375,800,supply0,49.9845767276229,49.9845767276229,49.9845767276229
3,100,demand3,51.1822264284098,-0.736736434144399,1,52.8491734862925,-1.242375,800,supply1,188.638088955762,188.638088955762,188.638088955762
3,100,demand3,51.1822264284098,-0.736736434144399,2,54.1969298768179,-1.242375,800,supply2,337.107736571121,337.107736571121,337.107736571121
4,100,demand4,51.0516854915724,-1.242375,0,51.5011093,-1.242375,800,supply0,49.9831798081037,49.9831798081037,49.9831798081037
4,100,demand4,51.0516854915724,-1.242375,1,52.8491734862925,-1.242375,800,supply1,199.932539024409,199.932539024409,199.932539024409
4,100,demand4,51.0516854915724,-1.242375,2,54.1969298768179,-1.242375,800,supply2,349.881622415511,349.881622415511,349.881622415511
5,100,demand5,51.1822264284098,-1.7480135658556,0,51.5011093,-1.242375,800,supply0,49.982284518555,49.982284518555,49.982284518555
5,100,demand5,51.1822264284098,-1.7480135658556,1,52.8491734862925,-1.242375,800,supply1,188.629524099057,188.629524099057,188.629524099057
5,100,demand5,51.1822264284098,-1.7480135658556,2,54.1969298768179,-1.242375,800,supply2,337.092585260849,337.092585260849,337.092585260849
6,100,demand6,51.4988992977493,-1.96240998941112,0,51.5011093,-1.242375,800,supply0,49.982061912951,49.982061912951,49.982061912951
6,100,demand6,51.4988992977493,-1.96240998941112,1,52.8491734862925,-1.242375,800,supply1,158.055614051084,158.055614051084,158.055614051084
6,100,demand6,51.4988992977493,-1.96240998941112,2,54.1969298768179,-1.242375,800,supply2,304.025637098205,304.025637098205,304.025637098205
7,100,demand7,51.817764670787,-1.75509576382232,0,51.5011093,-1.242375,800,supply0,49.9822740958477,49.9822740958477,49.9822740958477
7,100,demand7,51.817764670787,-1.75509576382232,1,52.8491734862925,-1.242375,800,supply1,119.928918684491,119.928918684491,119.928918684491
7,100,demand7,51.817764670787,-1.75509576382232,2,54.1969298768179,-1.242375,800,supply2,266.89913437549,266.89913437549,266.89913437549
8,100,demand8,53.2984596075726,-1.242375,0,51.5011093,-1.242375,800,supply0,199.932418505533,199.932418505533,199.932418505533
8,100,demand8,53.2984596075726,-1.242375,1,52.8491734862925,-1.242375,800,supply1,49.9830592789421,49.9830592789421,49.9830592789421
8,100,demand8,53.2984596075726,-1.242375,2,54.1969298768179,-1.242375,800,supply2,99.9660263264892,99.9660263264892,99.9660263264892
9,100,demand9,53.1657005053487,-0.713733733180638,0,51.5011093,-1.242375,800,supply0,188.637924531048,188.637924531048,188.637924531048
9,100,demand9,53.1657005053487,-0.713733733180638,1,52.8491734862925,-1.242375,800,supply1,49.9844198300135,49.9844198300135,49.9844198300135
9,100,demand9,53.1657005053487,-0.713733733180638,2,54.1969298768179,-1.242375,800,supply2,119.934009948505,119.934009948505,119.934009948505
10,100,demand10,52.8468541952845,-0.50024176231681,0,51.5011093,-1.242375,800,supply0,158.065664415239,158.065664415239,158.065664415239
