demand,demand_id,demand_lat,demand_lng,demand_name,supply,supply_id,supply_lat,supply_lng,supply_name,duration_min,distance_crowflies_km,distance_route_km
11.6620191555,0,50.9201278763,-2.6707388707099997,Green Ln,49.965300672839994,0,51.7493139942,-0.240862847712,Roehyde Way,158.883333333,192.761854658,235.458
11.6620191555,0,50.9201278763,-2.6707388707099997,Green Ln,39.54922018404,1,50.8151283246,-2.27390108813,Deer Park,48.4333333333,30.2691134163,50.56
11.6620191555,0,50.9201278763,-2.6707388707099997,Green Ln,61.69952945548,2,53.7669204652,-1.41196378153,63 Hall,271.7,328.05084163099997,434.441
10.883693183599998,1,50.907756051499994,-0.610445348003,Bignor UK,49.965300672839994,0,51.7493139942,-0.240862847712,Roehyde Way,105.4,97.0843055538,124.99700000000001
10.883693183599998,1,50.907756051499994,-0.610445348003,Bignor UK,39.54922018404,1,50.8151283246,-2.27390108813,Deer Park,122.133333333,117.528345087,151.467
10.883693183599998,1,50.907756051499994,-0.610445348003,Bignor UK,61.69952945548,2,53.7669204652,-1.41196378153,63 Hall,264.066666667,322.700493934,391.908
16.924972946500002,2,51.0496384311,-3.9038196838599997,A361 Barnstaple,49.965300672839994,0,51.7493139942,-0.240862847712,Roehyde Way,203.81666666700002,266.42227974400004,346.56800000000004
16.924972946500002,2,51.0496384311,-3.9038196838599997,A361 Barnstaple,39.54922018404,1,50.8151283246,-2.27390108813,Deer Park,120.916666667,117.478867638,155.727
16.924972946500002,2,51.0496384311,-3.9038196838599997,A361 Barnstaple,61.69952945548,2,53.7669204652,-1.41196378153,63 Hall,281.716666667,346.51091559800005,464.918
11.705178784300001,3,53.7629098293,-0.41764178359,Swine Bank,49.965300672839994,0,51.7493139942,-0.240862847712,Roehyde Way,181.233333333,224.345710216,263.55400000000003
11.705178784300001,3,53.7629098293,-0.41764178359,Swine Bank,39.54922018404,1,50.8151283246,-2.27390108813,Deer Park,306.833333333,351.465267169,468.898
11.705178784300001,3,53.7629098293,-0.41764178359,Swine Bank,61.69952945548,2,53.7669204652,-1.41196378153,63 Hall,64.15,65.5513495782,86.604
11.4649925555,4,53.28643586729999,-3.29260314673, Holywell,49.965300672839994,0,51.7493139942,-0.240862847712,Roehyde Way,211.66666666700002,268.521249795,341.36699999999996
11.4649925555,4,53.28643586729999,-3.29260314673, Holywell,39.54922018404,1,50.8151283246,-2.27390108813,Deer Park,291.7,283.617083669,415.722
11.4649925555,4,53.28643586729999,-3.29260314673, Holywell,61.69952945548,2,53.7669204652,-1.41196378153,63 Hall,112.95,135.647532063,172.338
14.8759704858,5,53.7459038095,-1.1608639413,Royd's Rd,49.965300672839994,0,51.7493139942,-0.240862847712,Roehyde Way,170.25,230.63803412400003,265.723
14.8759704858,5,53.7459038095,-1.1608639413,Royd's Rd,39.54922018404,1,50.8151283246,-2.27390108813,Deer Park,289.866666667,334.712910512,436.404
14.8759704858,5,53.7459038095,-1.1608639413,Royd's Rd,61.69952945548,2,53.7669204652,-1.41196378153,63 Hall,30.7666666667,16.720670601600002,24.305999999999997
